2023-09-18 14:39:24,328 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,334 [WARN ] o.a.kafka.clients.NetworkClient - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Error while fetching metadata with correlation id 184 : {topic_j1=LEADER_NOT_AVAILABLE}
2023-09-18 14:39:24,336 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,338 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,339 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,342 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,344 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,346 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,348 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,351 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,353 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,355 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,357 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,359 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,361 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,363 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,364 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,366 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,368 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,370 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,372 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,373 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,375 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,377 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,379 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,380 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,382 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,386 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,388 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,391 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,392 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,394 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,396 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,398 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,400 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,402 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,402 [WARN ] o.a.kafka.clients.NetworkClient - [Producer clientId=producer-1] Error while fetching metadata with correlation id 380 : {topic_j1=LEADER_NOT_AVAILABLE}
2023-09-18 14:39:24,404 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,405 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,407 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,408 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,410 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,412 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,413 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,415 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,417 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,419 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,421 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,423 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,424 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,426 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,428 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,429 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,432 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,433 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,438 [WARN ] o.a.kafka.clients.NetworkClient - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Error while fetching metadata with correlation id 237 : {topic_j1=LEADER_NOT_AVAILABLE}
2023-09-18 14:39:24,440 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,442 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,443 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,446 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,448 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,449 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,451 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,453 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,455 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,457 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,459 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,461 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,463 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,465 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,468 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,471 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,473 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,475 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,477 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,479 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,481 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,482 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,484 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,486 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,488 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,490 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,492 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,494 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,496 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,498 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,500 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,503 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,505 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,506 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,508 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,510 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,512 [WARN ] o.a.kafka.clients.NetworkClient - [Producer clientId=producer-1] Error while fetching metadata with correlation id 381 : {topic_j1=LEADER_NOT_AVAILABLE}
2023-09-18 14:39:24,512 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,514 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,516 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,517 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
2023-09-18 14:39:24,520 [WARN ] o.a.k.c.consumer.internals.Fetcher - [Consumer clientId=consumer-acmeitemprocess-1, groupId=acmeitemprocess] Received unknown topic or partition error in fetch for partition topic_j1-0
